,Trail Name,compound,RF_Sentiment,name,area_name,city_name,state_name,country_name,length,elevation_gain,difficulty_rating,route_type,avg_rating,num_reviews,features,activities,river,beach,strollers,forest,city-walk,partially-paved,kids,rails-trails,dogs,waterfall,dogs-leash,ada,paved,hot-springs,views,dogs-no,cave,historic-site,wildlife,wild-flowers,lake,mountain-biking,surfing,off-road-driving,camping,walking,fishing,whitewater-kayaking,road-biking,horseback-riding,rails-trails.1,skiing,backpacking,scenic-driving,paddle-sports,sea-kayaking,canoeing,trail-running,bike-touring,birding,rock-climbing,cross-country-skiing,snowshoeing,ice-climbing,snowboarding,hiking,fly-fishing,nature-trips,update_name,update_state,trail_url,Lat,Lng
126,Cascade Falls,0.88601,1,Cascade Falls,Rocky Mountain National Park,Grand Lake,Colorado,United States,11909.116,205.74,1,out and back,4.5,368,"['dogs-no', 'forest', 'kids', 'river', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'snowshoeing', 'trail-running', 'walking', 'horseback-riding', 'fly-fishing']",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,Cascade-Falls,Colorado,https://www.alltrails.com/trail/us/Colorado/Cascade-Falls,40.25664,-105.81443
127,Cascade Falls Trail,0.68284,0,Cascade Falls,Rocky Mountain National Park,Grand Lake,Colorado,United States,11909.116,205.74,1,out and back,4.5,368,"['dogs-no', 'forest', 'kids', 'river', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'snowshoeing', 'trail-running', 'walking', 'horseback-riding', 'fly-fishing']",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,Cascade-Falls,Colorado,https://www.alltrails.com/trail/us/Colorado/Cascade-Falls,40.25664,-105.81443
128,Cassidy Arch,0.70501,0,Cassidy Arch Trail,Capitol Reef National Park,Torrey,Utah,United States,4667.086,213.9696,3,out and back,4.5,290,"['dogs-no', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing', 'walking']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,Cassidy-Arch-Trail,Utah,https://www.alltrails.com/trail/us/Utah/Cassidy-Arch-Trail,38.26375,-111.21564
129,Castle Crest Wildflower Trail,0.78923,1,Castle Crest Wildflower Garden Trail,Crater Lake National Park,Chiloquin,Oregon,United States,1931.208,36.8808,1,loop,4,24,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['hiking', 'walking']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Castle-Crest-Wildflower-Garden-Trail,Oregon,https://www.alltrails.com/trail/us/Oregon/Castle-Crest-Wildflower-Garden-Trail,42.89664,-122.13375
130,Castle Rock Trail,0.85446,1,Castle Trail,Badlands National Park,Interior,South Dakota,United States,16898.07,95.7072,3,loop,4.5,232,"['dogs-no', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Castle-Trail,South-Dakota,https://www.alltrails.com/trail/us/South-Dakota/Castle-Trail,43.7613,-101.92792
131,Castle Trail,0.75009,1,Castle Trail,Badlands National Park,Interior,South Dakota,United States,16898.07,95.7072,3,loop,4.5,232,"['dogs-no', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Castle-Trail,South-Dakota,https://www.alltrails.com/trail/us/South-Dakota/Castle-Trail,43.7613,-101.92792
132,Cataract Falls,0.63397,0,Cataract Falls,Great Smoky Mountains National Park,Gatlinburg,Tennessee,United States,1770.274,8.8392,1,out and back,4,260,"['dogs-no', 'forest', 'kids', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Cataract-Falls,Tennessee,https://www.alltrails.com/trail/us/Tennessee/Cataract-Falls,35.68551,-83.53714
133,Cathedral Lake Trail,0.89678,1,Cathedral Lakes Trail,Yosemite National Park,Yosemite Valley,California,United States,13840.324,472.7448,3,out and back,4.5,248,"['dogs-no', 'forest', 'lake', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'fishing', 'hiking', 'nature-trips', 'trail-running', 'walking', 'horseback-riding']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Cathedral-Lakes-Trail,California,https://www.alltrails.com/trail/us/California/Cathedral-Lakes-Trail,37.87338,-119.38261
134,Cathedral Valley Loop,0.78495,1,Cathedral Valley OHV Loop Tour,Capitol Reef National Park,Torrey,Utah,United States,103963.364,1155.8016,3,point to point,4.5,36,"['dogs-no', 'river', 'views', 'wild-flowers', 'wildlife']",['off-road-driving'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cathedral-Valley-OHV-Loop-Tour,Utah,https://www.alltrails.com/trail/us/Utah/Cathedral-Valley-OHV-Loop-Tour,38.27504,-111.08043
135,Catlett Mountain Circuit,0.6652,0,Catlett Mountain,Shenandoah National Park,Etlan,Virginia,United States,17059.004,641.9088,5,loop,4.5,5,"['dogs-leash', 'river', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Catlett-Mountain,Virginia,https://www.alltrails.com/trail/us/Virginia/Catlett-Mountain,38.57044,-78.2863
136,Cattail Falls Trail,0.73816,0,Cattail Falls,Big Bend National Park,Big Bend National Park,Texas,United States,9173.238,208.788,3,out and back,4.5,45,"['dogs-no', 'views', 'waterfall', 'wildlife']","['hiking', 'nature-trips', 'walking']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Cattail-Falls,Texas,https://www.alltrails.com/trail/us/Texas/Cattail-Falls,29.27977,-103.36844
137,Cave Loop Trail,0.74047,0,Dixon Cave Trail Loop,Mammoth Cave National Park,Mammoth Cave,Kentucky,United States,2414.01,83.82,1,loop,4,46,"['cave', 'dogs-leash', 'forest', 'historic-site', 'kids', 'partially-paved', 'river', 'views', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips', 'walking']",1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Dixon-Cave-Trail-Loop,Kentucky,https://www.alltrails.com/trail/us/Kentucky/Dixon-Cave-Trail-Loop,37.18657,-86.10066
138,Cedar Run Trail,0.86606,1,Cedar Run Falls Trail,Shenandoah National Park,Syria,Virginia,United States,9334.172,684.8856,5,out and back,4.5,60,"['beach', 'dogs-leash', 'river', 'views', 'waterfall', 'wildlife']","['backpacking', 'hiking']",1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Cedar-Run-Falls-Trail,Virginia,https://www.alltrails.com/trail/us/Virginia/Cedar-Run-Falls-Trail,38.55605,-78.3867
139,Cedar Sink Trail,0.72283,0,Cedar Sink Trail,Mammoth Cave National Park,Park City,Kentucky,United States,2896.812,70.7136,1,out and back,4.5,105,"['cave', 'dogs-leash', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Cedar-Sink-Trail,Kentucky,https://www.alltrails.com/trail/us/Kentucky/Cedar-Sink-Trail,37.15571,-86.16037
140,Centennial Trail,0.594445,0,Lookout Point Trail and Centennial Trail Loop,Wind Cave National Park,Custer,South Dakota,United States,8368.568,156.972,3,loop,4,43,"['dogs-no', 'forest', 'kids', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'hiking', 'nature-trips', 'trail-running', 'walking']",1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Lookout-Point-Trail-and-Centennial-Trail-Loop,South-Dakota,https://www.alltrails.com/trail/us/South-Dakota/Lookout-Point-Trail-and-Centennial-Trail-Loop,43.58144,-103.4837
141,Chain of Craters Road,0.49758,0,End of Chain of Craters Road Trail to Lava Viewing,Hawaii Volcanoes National Park,Kalapana,Hawaii,Hawaii,16576.202,130.7592,3,out and back,4,43,"['beach', 'cave', 'dogs-no', 'views', 'wild-flowers', 'wildlife']",['hiking'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,End-of-Chain-of-Craters-Road-Trail-to-Lava-Viewing,Hawaii,https://www.alltrails.com/trail/us/Hawaii/End-of-Chain-of-Craters-Road-Trail-to-Lava-Viewing,19.29555,-155.09752
142,Chain of Lakes,0.84075,1,Chain of Lakes,Yellowstone National Park,Yellowstone National Park,Wyoming,United States,17219.938,209.7024,3,point to point,4,5,"['dogs-no', 'forest', 'lake', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'fishing', 'hiking', 'nature-trips', 'trail-running', 'walking', 'fly-fishing']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,Chain-of-Lakes,Wyoming,https://www.alltrails.com/trail/us/Wyoming/Chain-of-Lakes,44.71689,-110.63401
143,Champlain Mountain & Beehive Loop Trail,0.89071,1,Champlain Mountain & Beehive Loop Trail,Acadia National Park,Bar Harbor,Maine,United States,10621.644,633.984,3,loop,4.5,63,"['dogs-no', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Champlain-Mountain-&-Beehive-Loop-Trail,Maine,https://www.alltrails.com/trail/us/Maine/Champlain-Mountain-&-Beehive-Loop-Trail,44.35871,-68.20553
144,Chapin Pass,0.73305,0,Chapin Pass Trail to Mount Chapin,Rocky Mountain National Park,Estes Park,Colorado,United States,6276.426,445.9224,3,out and back,5,69,"['dogs-no', 'views', 'wildlife']",['hiking'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Chapin-Pass-Trail-to-Mount-Chapin,Colorado,https://www.alltrails.com/trail/us/Colorado/Chapin-Pass-Trail-to-Mount-Chapin,40.43483,-105.73036
145,Mount Chapin,0.82945,1,Chapin Pass Trail to Mount Chapin,Rocky Mountain National Park,Estes Park,Colorado,United States,6276.426,445.9224,3,out and back,5,69,"['dogs-no', 'views', 'wildlife']",['hiking'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Chapin-Pass-Trail-to-Mount-Chapin,Colorado,https://www.alltrails.com/trail/us/Colorado/Chapin-Pass-Trail-to-Mount-Chapin,40.43483,-105.73036
146,Charlies Bunion,0.83123,1,Charlies Bunion via Kephart Loop,Great Smoky Mountains National Park,Cherokee,North Carolina,United States,22208.892,1120.7496,7,loop,4.5,39,"['dogs-no', 'forest', 'views']",['hiking'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Charlies-Bunion-via-Kephart-Loop,North-Carolina,https://www.alltrails.com/trail/us/North-Carolina/Charlies-Bunion-via-Kephart-Loop,35.5858,-83.3583
147,Chasm Lake,0.75141,1,Chasm Lake,Rocky Mountain National Park,Estes Park,Colorado,United States,15127.796,792.7848,5,out and back,5,888,"['dogs-no', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'snowshoeing', 'trail-running', 'horseback-riding']",1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,Chasm-Lake,Colorado,https://www.alltrails.com/trail/us/Colorado/Chasm-Lake,40.27267,-105.55684
148,Chasm View Nature Trail,0.9515,1,Chasm View Nature Trail,Black Canyon of the Gunnison National Park,Olathe,Colorado,United States,965.604,32.9184,1,loop,5,53,"['dogs-leash', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Chasm-View-Nature-Trail,Colorado,https://www.alltrails.com/trail/us/Colorado/Chasm-View-Nature-Trail,38.58485,-107.70896
149,Cheat Lake Trail,0.89217,1,Heart Lake Trail,Yellowstone National Park,Yellowstone National Park,Wyoming,United States,23979.166,434.9496,3,out and back,4.5,17,"['dogs-no', 'forest', 'lake', 'hot-springs', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'fishing', 'hiking', 'nature-trips', 'trail-running', 'walking', 'fly-fishing']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,Heart-Lake-Trail,Wyoming,https://www.alltrails.com/trail/us/Wyoming/Heart-Lake-Trail,44.31711,-110.59861
150,Heart Lake Trail,0.73376,0,Heart Lake Trail,Yellowstone National Park,Yellowstone National Park,Wyoming,United States,23979.166,434.9496,3,out and back,4.5,17,"['dogs-no', 'forest', 'lake', 'hot-springs', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'fishing', 'hiking', 'nature-trips', 'trail-running', 'walking', 'fly-fishing']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,Heart-Lake-Trail,Wyoming,https://www.alltrails.com/trail/us/Wyoming/Heart-Lake-Trail,44.31711,-110.59861
151,Chesler Park Loop Trail,0.85191,1,Chesler Park Loop Trail,Canyonlands National Park,Monticello,Utah,United States,18668.344,589.788,3,loop,5,193,"['dogs-no', 'views']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Chesler-Park-Loop-Trail,Utah,https://www.alltrails.com/trail/us/Utah/Chesler-Park-Loop-Trail,38.14161,-109.82733
152,Chilnualna Falls,0.83539,1,Chilnualna Falls Trail,Yosemite National Park,Yosemite Valley,California,United States,12713.786,666.9024,3,out and back,4.5,297,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wildlife']","['backpacking', 'birding', 'hiking', 'nature-trips', 'horseback-riding']",1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Chilnualna-Falls-Trail,California,https://www.alltrails.com/trail/us/California/Chilnualna-Falls-Trail,37.54839,-119.634
153,Chimney Tops Trail,0.86412,1,Chimney Tops Trail,Great Smoky Mountains National Park,Gatlinburg,Tennessee,United States,5793.624,392.8872,5,out and back,4.5,1347,"['dogs-no', 'forest', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'hiking', 'nature-trips', 'rock-climbing']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,Chimney-Tops-Trail,Tennessee,https://www.alltrails.com/trail/us/Tennessee/Chimney-Tops-Trail,35.63544,-83.46976
154,Chinle Trail,0.67114,0,Chinle Trail,Zion National Park,Hurricane,Utah,United States,24944.77,546.8112,3,out and back,4,30,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'walking', 'horseback-riding']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Chinle-Trail,Utah,https://www.alltrails.com/trail/us/Utah/Chinle-Trail,37.16131,-113.01939
155,Cholla Cactus Garden,0.72261,0,Cholla Cactus Garden Nature Trail,Joshua Tree National Park,Twentynine Palms,California,United States,321.868,1.8288,1,loop,4,217,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Cholla-Cactus-Garden-Nature-Trail,California,https://www.alltrails.com/trail/us/California/Cholla-Cactus-Garden-Nature-Trail,33.92531,-115.92893
156,Cholla Trail,0.76018,1,"Pink Hill, Loma Verde, Cholla Trail, and Cactus Forest Loop",Saguaro National Park,Tucson,Arizona,United States,5310.822,23.7744,1,loop,4.5,32,"['dogs-no', 'views', 'wild-flowers']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,"Pink-Hill,-Loma-Verde,-Cholla-Trail,-and-Cactus-Forest-Loop",Arizona,"https://www.alltrails.com/trail/us/Arizona/Pink-Hill,-Loma-Verde,-Cholla-Trail,-and-Cactus-Forest-Loop",32.22086,-110.72615
157,Cinder Cone,0.86025,1,Cinder Cone Nature Trail,Lassen Volcanic National Park,Old Station,California,United States,7724.832,317.9064,5,loop,5,197,"['dogs-no', 'forest', 'lake', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'trail-running']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Cinder-Cone-Nature-Trail,California,https://www.alltrails.com/trail/us/California/Cinder-Cone-Nature-Trail,40.56491,-121.30184
158,Cirque Rim Trail,0.795516667,1,Cirque Rim Nature Trail,Olympic National Park,Port Angeles,Washington,United States,2574.944,114.9096,1,loop,4.5,100,"['ada', 'dogs-no', 'forest', 'kids', 'paved', 'strollers', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'snowshoeing', 'walking']",0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,Cirque-Rim-Nature-Trail,Washington,https://www.alltrails.com/trail/us/Washington/Cirque-Rim-Nature-Trail,47.96962,-123.50002
159,Clayton County International Park,0.70734,0,Clayton County International Park Trail,"Clayton Co International Park, Jonesboro GA",Jonesboro,Georgia,United States,2574.944,36.8808,3,loop,4,26,"['dogs-leash', 'forest', 'kids', 'views', 'wild-flowers']","['birding', 'hiking', 'mountain-biking', 'nature-trips', 'trail-running', 'walking']",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Clayton-County-International-Park-Trail,Georgia,https://www.alltrails.com/trail/us/Georgia/Clayton-County-International-Park-Trail,33.5312,-84.31568
160,Clear Creek Trail,0.6388,0,Clear Creek Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,49245.804,2673.7056,7,out and back,4.5,10,"['dogs-no', 'views']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'trail-running']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Clear-Creek-Trail,Arizona,https://www.alltrails.com/trail/us/Arizona/Clear-Creek-Trail,36.05353,-112.08346
161,Clear Creek Trail,0.6388,0,Clear Creek Trail,Zion National Park,Springdale,Utah,United States,3701.482,42.9768,1,out and back,3.5,12,"['dogs-no', 'kids', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing', 'walking']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,Clear-Creek-Trail,Utah,https://www.alltrails.com/trail/us/Utah/Clear-Creek-Trail,37.22451,-112.90274
162,Clear Lake Artist's Point Loop Trail,0.901566667,1,Clear Lake Artist's Point Loop Trail,Yellowstone National Park,Yellowstone National Park,Wyoming,United States,5471.756,116.7384,1,loop,4.5,72,"['dogs-no', 'forest', 'lake', 'kids', 'hot-springs', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'trail-running', 'walking']",1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Clear-Lake-Artist's-Point-Loop-Trail,Wyoming,https://www.alltrails.com/trail/us/Wyoming/Clear-Lake-Artist's-Point-Loop-Trail,44.71557,-110.49575
163,Cleetwood Cove Trail,0.72618,0,Cleetwood Cove Trail,Crater Lake National Park,Crater Lake,Oregon,United States,3379.614,189.8904,3,out and back,4.5,421,"['beach', 'dogs-no', 'forest', 'lake', 'kids', 'paved', 'views', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Cleetwood-Cove-Trail,Oregon,https://www.alltrails.com/trail/us/Oregon/Cleetwood-Cove-Trail,42.97972,-122.08335
164,Cliff Lake,0.8924,1,"Terrace, Shadow, and Cliff Lakes",Lassen Volcanic National Park,Old Station,California,United States,5310.822,220.98,1,out and back,4.5,29,"['dogs-no', 'forest', 'lake', 'kids', 'wildlife']","['hiking', 'trail-running']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Terrace,-Shadow,-and-Cliff-Lakes",California,"https://www.alltrails.com/trail/us/California/Terrace,-Shadow,-and-Cliff-Lakes",40.47636,-121.47908
165,Cliff Palace,0.37658,0,Cliff Palace Loop Trail,Mesa Verde National Park,Mesa Verde National Park,Colorado,United States,643.736,25.908,1,loop,4.5,87,"['dogs-no', 'historic-site', 'kids', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Cliff-Palace-Loop-Trail,Colorado,https://www.alltrails.com/trail/us/Colorado/Cliff-Palace-Loop-Trail,37.16609,-108.47224
166,Cliff Shelf Nature Trail,0.65239,0,Cliff Shelf Nature Trail,Badlands National Park,Interior,South Dakota,United States,804.67,19.812,1,loop,4,113,"['dogs-no', 'kids', 'views', 'wild-flowers']","['hiking', 'walking']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Cliff-Shelf-Nature-Trail,South-Dakota,https://www.alltrails.com/trail/us/South-Dakota/Cliff-Shelf-Nature-Trail,43.75043,-101.93117
167,Clingmans Dome,0.76946,1,Clingmans Dome Observation Tower Trail,Great Smoky Mountains National Park,Bryson City,North Carolina,United States,1931.208,100.8888,1,out and back,4.5,943,"['dogs-no', 'forest', 'kids', 'paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'nature-trips', 'walking']",0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Clingmans-Dome-Observation-Tower-Trail,North-Carolina,https://www.alltrails.com/trail/us/North-Carolina/Clingmans-Dome-Observation-Tower-Trail,35.55689,-83.4961
168,Cloud's Rest,0.65304,0,Happy Isles to Cloud's Rest Loop,Yosemite National Park,Yosemite Valley,California,United States,34439.876,1941.8808,5,loop,5,8,"['dogs-no', 'forest', 'river', 'views', 'waterfall']","['backpacking', 'camping', 'hiking']",1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Happy-Isles-to-Cloud's-Rest-Loop,California,https://www.alltrails.com/trail/us/California/Happy-Isles-to-Cloud's-Rest-Loop,37.73468,-119.56583
